name,phone,cpf,sexo,state,city
Sra. Amanda Nascimento,(081) 0016-1653,790.815.263-59,M,('AL', 'Alagoas'),das Neves dos Dourados
Luiz Felipe Novaes,(031) 6484 8259,612.057.983-40,M,('PR', 'Paraná'),Barbosa da Praia
Ana Beatriz Barbosa,+55 81 5299-3618,062.531.784-07,F,('SP', 'São Paulo'),Aragão de Ferreira
Dr. Juan Barbosa,(071) 5844-1585,457.126.098-94,F,('GO', 'Goiás'),Souza de Minas
Alícia Martins,+55 (071) 0459 4864,947.621.085-02,F,('DF', 'Distrito Federal'),Barros
Matheus Farias,(084) 6673-9763,042.381.576-80,F,('PR', 'Paraná'),Fernandes de Barros
Danilo da Luz,+55 (084) 3839-1368,362.849.015-42,F,('RS', 'Rio Grande do Sul'),Nunes
Arthur Cavalcanti,11 8811 5043,349.807.165-39,M,('AP', 'Amapá'),Rodrigues
Enzo Dias,+55 (011) 0167-1145,704.839.651-20,M,('PA', 'Pará'),da Rosa das Flores
Bárbara Martins,31 6206-2682,870.629.531-21,M,('SC', 'Santa Catarina'),da Mota
Fernando Ribeiro,(051) 2613-3049,689.013.572-59,F,('SC', 'Santa Catarina'),Cavalcanti da Praia
Davi Luiz Santos,(071) 7837 7196,930.175.846-66,F,('PB', 'Paraíba'),Aragão do Campo
Eduardo da Paz,0500-566-8255,910.367.425-80,F,('AL', 'Alagoas'),Carvalho
Gabriela Nunes,84 6681 4535,102.746.839-03,M,('RS', 'Rio Grande do Sul'),Teixeira
Laís Vieira,(011) 5491-4627,432.658.097-65,F,('ES', 'Espírito Santo'),Correia
Catarina da Cruz,0300-968-3769,548.327.096-74,F,('MG', 'Minas Gerais'),Monteiro do Galho
Srta. Maria Cecília Fernandes,51 1470 3550,895.014.376-39,M,('AL', 'Alagoas'),Araújo do Norte
João Guilherme Correia,(071) 4160-9160,720.964.135-16,M,('PI', 'Piauí'),Cunha
Thomas Pinto,0300-035-6121,596.840.137-01,F,('GO', 'Goiás'),Barros do Amparo
Sr. Pedro Lucas Gomes,31 7270 5685,347.908.612-87,F,('PA', 'Pará'),Souza de Minas
Ana Vitória Porto,(061) 4524-9754,891.073.564-39,M,('SC', 'Santa Catarina'),Lopes
Elisa Martins,31 0945-9070,359.271.840-14,F,('MG', 'Minas Gerais'),Azevedo da Prata
Maria Fernanda Lima,0500-657-4991,764.150.832-44,M,('PA', 'Pará'),Pinto de Minas
Maria Rocha,21 4957 6339,418.563.209-60,F,('MT', 'Mato Grosso'),da Cruz
Felipe Dias,+55 61 5560 1156,367.514.902-16,M,('PR', 'Paraná'),Moraes
Sra. Esther Barros,+55 (011) 3729-5718,892.635.740-65,F,('BA', 'Bahia'),Santos
Dra. Juliana Pereira,0900 400 1625,049.612.538-98,F,('MS', 'Mato Grosso do Sul'),Cavalcanti do Campo
André Gomes,+55 (011) 8235-5851,813.507.429-88,F,('SP', 'São Paulo'),Pinto Paulista
Diego da Cruz,0900-649-4703,049.178.362-04,F,('PI', 'Piauí'),Alves de Freitas
Dra. Elisa Correia,81 6727-3427,690.458.127-11,F,('SE', 'Sergipe'),Moura
Calebe Pereira,71 0453-9954,319.608.754-93,F,('SE', 'Sergipe'),Duarte
Srta. Clara Peixoto,(081) 1552 4875,693.057.842-83,M,('MG', 'Minas Gerais'),Araújo da Praia
Stella Silva,+55 (051) 1157 1536,871.942.056-02,F,('GO', 'Goiás'),Sales Grande
Laura da Mata,(084) 0992 6603,430.128.795-79,M,('CE', 'Ceará'),Ferreira
Clarice Cunha,(021) 8799-9417,531.492.608-33,M,('GO', 'Goiás'),Barbosa
Rafael da Cunha,(084) 1083-6558,043.681.572-90,F,('PI', 'Piauí'),Costela
Pedro Miguel Nogueira,11 7806-6545,760.285.349-00,M,('PR', 'Paraná'),Mendes do Amparo
Larissa Vieira,(061) 2514-3857,512.376.809-21,M,('PR', 'Paraná'),Rodrigues de Minas
Carlos Eduardo Freitas,+55 (011) 6583-0521,976.253.841-28,M,('RN', 'Rio Grande do Norte'),Nunes
Luna Cunha,84 9600 8901,903.814.257-97,M,('RR', 'Roraima'),Moreira
Isaac Caldeira,84 7659-0726,217.564.830-35,M,('PB', 'Paraíba'),Caldeira
Alícia Novaes,+55 81 5890 5579,864.573.291-28,F,('RS', 'Rio Grande do Sul'),da Conceição de Peixoto
Manuela Correia,11 1591 1657,162.874.305-08,F,('MT', 'Mato Grosso'),Ferreira
Otávio Oliveira,+55 71 2538-1654,452.183.609-70,M,('AP', 'Amapá'),Monteiro da Mata
Dr. Rafael das Neves,+55 61 4964-4195,387.514.026-53,M,('RJ', 'Rio de Janeiro'),Moreira
Dr. Francisco das Neves,+55 71 4261 0298,148.956.230-33,M,('BA', 'Bahia'),Sales
Julia Fogaça,31 9560-9293,235.048.976-00,M,('MG', 'Minas Gerais'),Rodrigues
Juliana Fernandes,0300-284-3584,841.372.096-69,F,('GO', 'Goiás'),Moraes Alegre
Sr. Pedro Oliveira,41 9643 1616,790.864.351-57,F,('RN', 'Rio Grande do Norte'),das Neves dos Dourados
Davi Luiz Duarte,0900 765 3217,021.957.386-77,F,('AC', 'Acre'),Gonçalves
Rodrigo Pereira,51 2500 3659,139.540.762-25,M,('AC', 'Acre'),Santos
Catarina Nunes,+55 41 1073 1356,370.156.924-06,M,('AL', 'Alagoas'),Pires de Costela
Leonardo Moraes,(084) 9059 9113,835.907.461-57,M,('PA', 'Pará'),Pereira
Dr. Cauê Rodrigues,+55 51 0086 9073,561.284.397-64,M,('CE', 'Ceará'),Silva
Gustavo Henrique Melo,(021) 1008 8625,351.697.240-80,F,('DF', 'Distrito Federal'),Lopes de Silva
Maria Luiza da Rocha,+55 (051) 8100 3273,413.298.567-91,F,('SC', 'Santa Catarina'),Pires do Oeste
Bárbara Teixeira,+55 71 9612-5433,416.273.058-07,M,('PA', 'Pará'),Santos
Dr. Davi Luiz Fernandes,61 0058-7053,041.359.267-70,F,('AC', 'Acre'),Silveira
Lívia Santos,+55 21 4233-0043,214.395.068-33,F,('SP', 'São Paulo'),Almeida
Lucas Azevedo,+55 (081) 5819-5406,069.784.315-75,M,('PA', 'Pará'),Cardoso Paulista
Stella Nogueira,+55 (021) 7540-5461,042.973.618-50,F,('AL', 'Alagoas'),Pires de Campos
João Pedro Cavalcanti,84 3666 9788,123.759.406-52,F,('TO', 'Tocantins'),Almeida
Srta. Lavínia Lima,11 9875 5031,318.095.746-84,F,('ES', 'Espírito Santo'),Moreira
Milena Nunes,+55 11 2679 1109,713.260.489-96,M,('CE', 'Ceará'),Rocha
Sra. Ana Souza,+55 (021) 7683-6613,089.235.174-88,F,('MA', 'Maranhão'),Ribeiro
Sr. Alexandre Cardoso,+55 81 1048-1507,205.481.673-62,M,('TO', 'Tocantins'),Ribeiro
Milena Monteiro,(081) 9879-6794,345.608.279-74,F,('MG', 'Minas Gerais'),Dias
Davi Lucca Pereira,11 9086-2705,247.165.089-94,F,('AL', 'Alagoas'),da Costa
Laís Nunes,31 9898-9698,037.215.694-07,F,('AL', 'Alagoas'),Farias
Miguel Rodrigues,+55 (061) 4797 2418,453.820.769-10,F,('BA', 'Bahia'),Cunha
Sr. Nathan Pereira,61 9162 4513,076.125.849-30,M,('MT', 'Mato Grosso'),da Luz Paulista
Theo Cardoso,+55 (031) 8443-9772,495.170.382-32,M,('AP', 'Amapá'),Sales
Alícia das Neves,11 1173-3110,046.538.719-57,F,('AP', 'Amapá'),Aragão
Cecília Jesus,+55 (041) 3275 1954,387.146.205-53,M,('AC', 'Acre'),Gomes
Emanuelly Costa,11 3069-1389,268.317.095-59,M,('TO', 'Tocantins'),da Cunha
Melissa Melo,31 1558 4956,971.402.368-87,F,('RR', 'Roraima'),Moreira Verde
Gabriela Rocha,(021) 7290 7774,419.327.850-60,M,('RJ', 'Rio de Janeiro'),Nunes da Mata
Maria Luiza Gonçalves,(031) 6255 3705,264.735.109-07,F,('PA', 'Pará'),Freitas
Yago Cardoso,+55 81 7968-6286,167.452.390-43,F,('MS', 'Mato Grosso do Sul'),Lopes do Norte
Dr. Yago Rodrigues,(051) 7136-6979,230.517.896-40,M,('MT', 'Mato Grosso'),Rezende Alegre
Maria Rezende,+55 (021) 3312-1584,603.248.971-03,F,('ES', 'Espírito Santo'),da Mota de Azevedo
Joana da Mota,+55 81 6818 3079,062.438.159-51,M,('AM', 'Amazonas'),Cardoso do Oeste
Vinicius Viana,+55 (051) 9545 1578,076.538.421-35,F,('RN', 'Rio Grande do Norte'),da Mota Grande
Melissa Fernandes,61 6124-8099,352.671.480-08,F,('CE', 'Ceará'),Nascimento das Pedras
Ana Julia Rezende,0500-026-0518,548.037.219-04,F,('AC', 'Acre'),Viana dos Dourados
Benício Lopes,(071) 1927-1761,015.293.467-70,M,('PI', 'Piauí'),Lopes
Dr. Marcos Vinicius Pereira,+55 (031) 2225 1209,653.198.204-70,F,('MG', 'Minas Gerais'),da Conceição do Campo
Sr. Bruno Lima,61 6767 1297,204.319.875-05,M,('PA', 'Pará'),Cardoso
Ana Julia Ferreira,(011) 6037 3991,921.835.476-00,F,('ES', 'Espírito Santo'),Sales
Mariana Teixeira,+55 (051) 6700-6290,613.587.942-19,M,('AM', 'Amazonas'),Azevedo
Lorenzo Rocha,84 8328-4695,978.263.501-40,M,('PR', 'Paraná'),Melo do Galho
Pedro Miguel Mendes,+55 21 8858-9678,934.651.280-60,M,('SE', 'Sergipe'),da Conceição
Valentina da Luz,0900-215-8768,934.810.625-24,M,('TO', 'Tocantins'),Pires
Matheus Gonçalves,(061) 8641 3378,073.582.614-53,M,('SP', 'São Paulo'),Carvalho Grande
Lorenzo Pinto,71 4189 5386,201.679.538-77,F,('AL', 'Alagoas'),Pinto
Raul Pinto,+55 61 6442-7039,342.986.571-91,M,('RO', 'Rondônia'),Vieira de Duarte
Vitor Gabriel Nunes,+55 41 2125-1526,915.630.287-86,M,('MG', 'Minas Gerais'),Ferreira de Alves
Vitor Gabriel Viana,+55 51 6163 5276,123.548.976-00,M,('ES', 'Espírito Santo'),Nogueira
Yasmin Correia,(041) 6771-7984,267.435.180-26,M,('PI', 'Piauí'),Moraes de Sales
Luiz Felipe Gomes,0300-229-3962,829.517.463-00,F,('RO', 'Rondônia'),Campos das Flores
Samuel Fernandes,31 8051-0119,465.078.129-94,M,('SE', 'Sergipe'),da Luz de Goiás
Joaquim Porto,81 2606 9729,597.381.420-32,M,('SC', 'Santa Catarina'),da Conceição
Daniela Carvalho,(041) 5073-8143,375.926.481-64,F,('RS', 'Rio Grande do Sul'),Castro do Amparo
Vitor Barros,84 0417 3555,580.762.194-85,M,('RN', 'Rio Grande do Norte'),Porto
Amanda Nogueira,(041) 2517-1143,820.613.795-59,F,('PE', 'Pernambuco'),Sales
Lucas Lima,+55 71 1069 3631,957.321.064-99,M,('RN', 'Rio Grande do Norte'),Ferreira
Augusto Moura,+55 84 8737 7829,749.513.620-07,M,('MT', 'Mato Grosso'),Caldeira
Diego Jesus,41 2749-3590,061.325.894-06,F,('AC', 'Acre'),Moreira de Ribeiro
Sra. Maria Cecília Ramos,+55 51 4480 2295,478.015.936-93,M,('PR', 'Paraná'),Cunha
Benício Almeida,81 4165-1193,809.327.615-77,M,('AC', 'Acre'),Moura
Camila da Paz,(051) 0601-0774,645.182.703-71,M,('MA', 'Maranhão'),Moreira
Ana Beatriz Gonçalves,(081) 2173-6045,568.301.947-84,M,('MT', 'Mato Grosso'),Sales Alegre
Rodrigo Correia,+55 71 2533 1423,692.173.504-43,M,('AP', 'Amapá'),Vieira
Maria Eduarda Araújo,+55 (011) 5849-7538,712.583.096-02,M,('AP', 'Amapá'),Lopes
Emanuel Cardoso,0900 070 7896,862.713.490-13,F,('PR', 'Paraná'),Viana
Laura Vieira,+55 71 0746 7253,162.708.935-77,M,('RN', 'Rio Grande do Norte'),Almeida de Ramos
Larissa Cunha,(061) 2246-0061,235.879.104-05,M,('SC', 'Santa Catarina'),Novaes
